         13487382 function calls (13481689 primitive calls) in 50.777 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.088    0.044 __init__.py:3639(_call_aside)
        1    0.000    0.000    0.088    0.088 __init__.py:3656(_initialize_master_working_set)
        1    0.000    0.000    0.087    0.087 specifiers.py:1(<module>)
        1    0.000    0.000    0.085    0.085 context.py:1(<module>)
   175684    0.083    0.000    0.083    0.000 {built-in method math.floor}
        1    0.000    0.000    0.083    0.083 _policybase.py:1(<module>)
       17    0.001    0.000    0.082    0.005 sysfont.py:390(SysFont)
       18    0.000    0.000    0.081    0.005 __init__.py:682(add_entry)
       72    0.003    0.000    0.078    0.001 __init__.py:2317(find_on_path)
      206    0.013    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.068    0.068 request.py:1(<module>)
      333    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
147336/146609    0.064    0.000    0.065    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.064    0.064 game.py:144(quit_pygame)
     4840    0.027    0.000    0.062    0.000 tools.py:71(hasher)
      307    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       54    0.001    0.000    0.062    0.001 _parser.py:969(parse)
  330/250    0.002    0.000    0.061    0.000 typing.py:392(inner)
   252/54    0.002    0.000    0.061    0.001 _parser.py:452(_parse_sub)
     2257    0.038    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       17    0.000    0.000    0.060    0.004 sysfont.py:342(initsysfonts)
   388/58    0.021    0.000    0.060    0.001 _parser.py:512(_parse)
        1    0.004    0.004    0.060    0.060 sysfont.py:55(initsysfonts_win32)
     4840    0.012    0.000    0.060    0.000 random.py:177(setstate)
      206    0.057    0.000    0.057    0.000 {built-in method marshal.loads}
     4841    0.057    0.000    0.057    0.000 {function Random.seed at 0x000001E1B24A2AC0}
    54817    0.055    0.000    0.055    0.000 {built-in method _functools.reduce}
    84782    0.055    0.000    0.055    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.055    0.027 abc.py:1(<module>)
     1179    0.039    0.000    0.054    0.000 world.py:406(get_chunk_textures)
      206    0.053    0.000    0.053    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.049    0.049 multiarray.py:1(<module>)
     4840    0.048    0.000    0.048    0.000 {function Random.setstate at 0x000001E1B24A2D40}
        1    0.000    0.000    0.047    0.047 __init__.py:640(_build_master)
        1    0.000    0.000    0.047    0.047 __init__.py:626(__init__)
        1    0.000    0.000    0.045    0.045 overrides.py:1(<module>)
        1    0.000    0.000    0.044    0.044 _common.py:1(<module>)
      577    0.021    0.000    0.040    0.000 entity.py:29(supercover_line)
    28022    0.038    0.000    0.040    0.000 {built-in method builtins.max}
     1929    0.039    0.000    0.039    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
        1    0.001    0.001    0.039    0.039 numeric.py:1(<module>)
        1    0.000    0.000    0.037    0.037 game.py:1(<module>)
        1    0.000    0.000    0.036    0.036 tags.py:1(<module>)
        1    0.000    0.000    0.035    0.035 client.py:1(<module>)
      206    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
    62468    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
       54    0.000    0.000    0.031    0.001 _compiler.py:578(_code)
     1881    0.011    0.000    0.031    0.000 <frozen ntpath>:107(join)
     9644    0.015    0.000    0.030    0.000 random.py:494(uniform)
      112    0.001    0.000    0.029    0.000 __init__.py:2388(distributions_from_metadata)
      632    0.009    0.000    0.028    0.000 <frozen importlib._bootstrap>:304(acquire)
      266    0.004    0.000    0.028    0.000 typing.py:1269(__init__)
   648/54    0.009    0.000    0.028    0.001 _compiler.py:37(_compile)
      662    0.002    0.000    0.027    0.000 ui.py:81(draw)
     1179    0.027    0.000    0.027    0.000 {built-in method pygame.key.get_pressed}
       77    0.027    0.000    0.027    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.026    0.026 header.py:1(<module>)
  123/118    0.000    0.000    0.026    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.026    0.026 npyio.py:1(<module>)
      118    0.002    0.000    0.026    0.000 typing.py:694(Union)
      412    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.024    0.024 shape_base.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _dtype_like.py:1(<module>)
      388    0.004    0.000    0.023    0.000 sysfont.py:95(_parse_font_entry_win)
      270    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.023    0.023 specifiers.py:99(Specifier)
      207    0.023    0.000    0.023    0.000 {method '__exit__' of '_io._IOBase' objects}
       99    0.022    0.000    0.022    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.022    0.022 tempfile.py:1(<module>)
        1    0.000    0.000    0.022    0.022 world.py:1(<module>)
      262    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.022    0.022 _npyio_impl.py:1(<module>)
     4324    0.015    0.000    0.021    0.000 <frozen ntpath>:179(splitroot)
      643    0.021    0.000    0.021    0.000 {method 'copy' of 'numpy.ndarray' objects}
     6282    0.021    0.000    0.021    0.000 entity.py:65(get_surround)
       60    0.000    0.000    0.021    0.000 typing.py:1288(__or__)
        1    0.000    0.000    0.020    0.020 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _internal.py:1(<module>)
       17    0.020    0.001    0.020    0.001 sysfont.py:366(font_constructor)
      362    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.020    0.020 socket.py:1(<module>)
     3668    0.007    0.000    0.019    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.018    0.018 shutil.py:1(<module>)
    10637    0.010    0.000    0.017    0.000 _parser.py:261(get)
        1    0.000    0.000    0.017    0.017 ssl.py:1(<module>)
      265    0.003    0.000    0.017    0.000 overrides.py:142(decorator)
      451    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:632(cached)
      405    0.001    0.000    0.016    0.000 sysfont.py:42(_simplename)
        1    0.000    0.000    0.016    0.016 _char_codes.py:1(<module>)
        1    0.000    0.000    0.016    0.016 plistlib.py:1(<module>)
       50    0.000    0.000    0.016    0.000 typing.py:521(__getitem__)
      245    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        1    0.000    0.000    0.016    0.016 _array_like.py:1(<module>)
     9644    0.015    0.000    0.015    0.000 {method 'random' of '_random.Random' objects}
     5239    0.015    0.000    0.015    0.000 {built-in method math.dist}
        4    0.000    0.000    0.014    0.004 version.py:1(<module>)
       50    0.002    0.000    0.014    0.000 typing.py:753(Literal)
      632    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:162(__enter__)
       17    0.002    0.000    0.014    0.001 {method 'sort' of 'list' objects}
       24    0.001    0.000    0.014    0.001 {built-in method builtins.sorted}
        1    0.000    0.000    0.014    0.014 _methods.py:1(<module>)
        1    0.000    0.000    0.014    0.014 sysfont.py:1(<module>)
      270    0.005    0.000    0.013    0.000 typing.py:262(_collect_parameters)
      734    0.001    0.000    0.013    0.000 __init__.py:2328(<genexpr>)
      113    0.013    0.000    0.013    0.000 {built-in method nt._path_isdir}
      362    0.013    0.000    0.013    0.000 {built-in method winreg.EnumValue}
        1    0.000    0.000    0.013    0.013 numerictypes.py:1(<module>)
     1825    0.012    0.000    0.012    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
      538    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
     4943    0.007    0.000    0.012    0.000 sysfont.py:45(<genexpr>)
     4225    0.007    0.000    0.011    0.000 world.py:42(abs_max)
        1    0.000    0.000    0.011    0.011 format.py:1(<module>)
       16    0.005    0.000    0.011    0.001 enum.py:1702(convert_class)
      718    0.002    0.000    0.011    0.000 __init__.py:2337(dist_factory)
    58/17    0.001    0.000    0.011    0.001 typing.py:1294(__getitem__)
      632    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.011    0.011 queue.py:1(<module>)
      556    0.005    0.000    0.011    0.000 <frozen ntpath>:236(split)
        1    0.000    0.000    0.011    0.011 parse.py:1(<module>)
      577    0.010    0.000    0.010    0.000 entity.py:322(movement)
       23    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
       23    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
       10    0.002    0.000    0.010    0.001 enum.py:913(_convert_)
      244    0.007    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
    11999    0.009    0.000    0.009    0.000 {method 'endswith' of 'str' objects}
      632    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      245    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
     1827    0.004    0.000    0.009    0.000 typing.py:1215(__setattr__)
        1    0.000    0.000    0.009    0.009 pickle.py:1(<module>)
      431    0.003    0.000    0.009    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.009    0.009 scimath.py:1(<module>)
      443    0.001    0.000    0.009    0.000 <frozen ntpath>:275(dirname)
    10147    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
